Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Loss,Test Accuracy,Test Precision,Test Recall,Test F1 Score
1,5.71,16.02,0.64,0.72,0.68,2.44,19.93,0.57,0.93,0.71
2,2.17,16.05,0.71,0.78,0.74,1.87,21.83,0.67,0.73,0.7
3,2.14,16.08,0.75,0.79,0.77,0.75,22.4,0.72,0.65,0.68
4,0.66,16.12,0.78,0.81,0.79,0.67,22.47,0.78,0.56,0.65
5,0.41,16.16,0.81,0.83,0.82,0.5,24.02,0.8,0.66,0.73
6,0.36,16.22,0.83,0.85,0.84,0.44,25.56,0.76,0.87,0.81
7,0.31,16.27,0.86,0.87,0.87,0.41,25.82,0.78,0.85,0.81
8,0.28,16.31,0.88,0.89,0.88,0.43,26.41,0.79,0.89,0.84
9,0.26,16.35,0.88,0.9,0.89,0.56,26.05,0.82,0.81,0.81
10,0.26,16.35,0.89,0.9,0.89,0.78,26.86,0.87,0.8,0.83
11,0.22,16.36,0.9,0.91,0.91,0.32,27.32,0.89,0.81,0.85
12,0.2,16.4,0.91,0.92,0.92,0.32,27.46,0.86,0.85,0.86
13,0.18,16.4,0.92,0.93,0.92,0.34,27.11,0.89,0.8,0.84
14,0.17,16.41,0.93,0.94,0.93,0.32,27.67,0.84,0.9,0.87
15,0.16,16.43,0.93,0.94,0.94,0.3,27.93,0.85,0.9,0.88
16,0.14,16.41,0.94,0.95,0.94,0.32,27.72,0.85,0.89,0.87
17,0.13,16.41,0.94,0.95,0.95,0.29,28.2,0.89,0.87,0.88
18,0.13,16.44,0.94,0.95,0.95,0.33,27.78,0.9,0.83,0.86
19,0.12,16.44,0.95,0.95,0.95,0.29,28.38,0.87,0.91,0.89
20,0.11,16.44,0.95,0.96,0.96,0.3,28.24,0.88,0.89,0.88
